Review,Rating
"Rounded, quite ripe, meaty and tending to decadence. High-toned. Very nice if not wildly complex.",terrific
"Smoky, refined, holding nicely although for drinking in the next year or two. Rather lovely. Top",terrific
Reminder to self: I must stop thinking of eighties Clarets as infants. This is pretty much mature although it will probably evolve interestingly over a decade or more. Very classic cigar-box and cassis. A pleasure to drink. Top,terrific
Coming towards maturity - great breeding: fine balance in quite a weighty wine. All the classic Barsac characteristics.,terrific
"Easy, peachy fruit. Pleasantly fruity.",horrible
Fragrant in an oily sort of way. A touch flabby. Fading.,horrible
Rieslingy. Nice weight. Bare,horrible
"A bit flatter and a touch dull. OK, but only",horrible
Lifted cherry cough sweet. Pleasant wine.,horrible
"Quite suave. Serious. A touch of vanilla. Modern-style - ""fut de chene"" proudly advertised -never a good sign.",horrible
Middle weight - a bit colourless.,horrible
"Opened with trepidation given Toby's recent article ablout 1996 white Burgundy. This one, however, was fine. Elegant, light to medium bodied and with good use of oak. Good texture to the wine. Possibly needs more time in bottle to be at its absolute best.",terrific
"A joy. Not a wine that needs too much thinking about, but delivers what is expected of a decent twenty-year-old Pauillac. Elegance and grace, and with the clarety minerality of age. At peak, I think, but no rush to drink up.",terrific
"I have quite a lot of this wine, and I have been a bit concerned of more recent times whether I needed to rush to drink it up. On this bottle's showing, I need not have too many worries about that. Not quite up to the standard of the previous wine (it somehow lacks the breeding), but good nonetheless with fruit and maturity working well together. No rush to drink up.",terrific
Inferior Italian fizz. Soft.,horrible
"From a half. Vegetal, coarse. Varnishy. Astringent finish. Odd.",horrible
Sweet botrytisy nose. Lovely balance. Delicious. A top,terrific
"Young coloured - subdued nose. Oak and good, closed tannins.",terrific
Smokey tempranillo. Delicious. Pick of the reds for me.,terrific
"Young and deep and with sweetness. Tannins, but a bit volatile.",horrible
"From a half - I think. Tasted(?) at the end of the evening. Can't remember much about it, and I didn't make notes. But I seem to have scribbled down",terrific
"Genuine chalky minerality and, once it has opened up, rich (but not excessively so) nectarine-kernel fruit. Nice acidity and good length. Starting to drink quite well now but no hurry to consume. Easy",horrible
"High-toned, dry, floral. Mineral.",horrible
"Fat, quite evolved. Dry and balanced but the fruit doesn't quite have the tone. A good",horrible
"Ungainly now. Hard. Fantastic underlying concentration, comlexity and length - will be excellent.",horrible
"Dry but rich. Complex, still a bit hard.",terrific
"Fantastic complexity - resolved I guess but nowehere close to decline. A delight and like the previous two wines, quite firm and masculine.",terrific
Riper and bigger. Complex and delicious. A bit easy-going to be really great. Bare,terrific
"Lovely - completely fresh, complex and long. Easy",terrific
Pale but green rim. Loads of brown sugar. Fantastic fruit. A lovely dessert wine.,terrific
Tropically edged green-pea fruit. Manages to be quite easily fruity but pretty dry and appetising. Good intensity and length. Very pure and enjoyable.,horrible
"Light-coloured, fragrant, pinot-like. Really fairly simple but pleasant. Makes",horrible
"The fruit seems very mature - almost over. Herby - quite complex. Still quite tannic. As Paolo de Marchi remarked, there can be a problem with Sangiovese of the fruit maturing before the tannins. Bare",terrific
A bit higher-toned perhaps. More tannins but generally a little bit thinner. Still nicely elegant.,horrible
Quite sweet. Fairly sherried and very intense. Lovely concentration.,terrific
"One of those wines that is just bordering on the past it, but is still pleasant and intersting to drink: it's possibly just that bit too oxidised, but this has given it a nutty character.",horrible
"Rather disjointed and disappointing - a bit volatile. It might come together, but I think not.",horrible
"Not something to get too excited about, but with decent, sweet strawberry/cherry fruit.",horrible
"Elegant, fine, fruity, long, long finish.",terrific
"Mahogany - dry, oozing age, complex, quite challenging and altogether wonderful.",terrific
Sage and onion stuffing - cranberries. Strange but splendid.,terrific
"Light fragile colour, sweet dilutish strawberry colour. Pleasant enough.",horrible
"Well put together tight wine, bright and vibrant. Good fruit, nice balance. Probably only for short term aging. A good",horrible
"White bread leaps about of the bottle on opening. Nutty, dry, green apples - the fruit changes every time you come back to it. A prestige cuvee that lives up the billing. Lovely drinking. Easy",terrific
"A blend of grapes from 89,90 and 91 - Cuvee 5, disgorged March 04. Fresh bread and apple nose, rich full yeasty and meaty palate. Perhaps in danger of being a bit coarse without food (as Blanc de Noirs sometimes are) - possibly a little more time in bottle will help. Complex and with a long, honied finish. This opens up with a little breathing and is really rather good. Top",terrific
"Honey, yeast, apples - a complex nose and palate that repays attention. This still seems a bit tightly wound as yet. My impression is that while very good there's no extra depth of character apparent from its ""single vineyard"" status. A prestige cuvee I'll try again but I won't be rushing. Bare",terrific
"Quite autolytic, appley fruit, complex an honied, quite dry and with good pinot gutsiness. All this after seeming a bit maderised at first, but as often with Champagne this seemed to blow off. Excellent.",terrific
"Citric, appley nose with yeasty notes - quite complex. Ripe, rounded fruit despite the excellent acidity of the vintage - needs a bit more time though - aspects of it seem quite tightly wound still. Quite long too and creamy textured.",terrific
"Light to medium weight, elegant, complex and nutty, quite long. Just occasionally it seems a little oily/keroseney on the palate but that may be the food I am having with it. Really pretty good, although probably for drinking over the next couple of years. A good deal from Oddbins at not muchover ú20. Bare",terrific
"A bit coarse on first sip, but this seems less noticable afterwards. The fruit quality is a way short of Champagne so a fairly basic wine. Pleasnat enough.",horrible
Last taste from a nearly exhhuasted bottle (I arrived late). Seemed typically lovely.,terrific
"Gamy, succulent tannins. Lovely.",terrific
"Gamy, warm berries, very pleasant - typical mature Beaucastel of this period.",terrific
"To make up for the corked Rhones! Touch of game, lovely ripe fruit, quite low acid. Lovely.",terrific
"Chocolate, cherries, strawberries, easy, rich yet appealing. Lovely complex palate. Really, really top Port.",terrific
"Quite mineral, but this seems a bit flabbier, flatter and lacking freshness than I remember. I could worry that we have a touch of premature-oxidation disease here although the wine is perfectly drinkable. I hope it's an odd bottle, the one I had in July 2004 was fine and I've had a couple since which I did not note because they were similar.",horrible
"Very (excessively even) citric, good acidity and a modest finish. No sign of 96 oxidation. I was given this knowing only that it was a 96 white Burgundy - thought it might be a disappointing grander wine. Actually this is rather good for its level. Top",horrible
Splendidly mineral and delicious. Bare,terrific
"One bottle rather orange an unpalatable - oxidized Burgundy syndrome, I fear. Another quite mature and hinting at the same but still rather good and pleasantly drinkable. The good one:",horrible
"Bone-dry, austere at first but then just very classic appetising white Burgundy at peak. Bare",terrific
"Very fine, balanced, complex. Intense, very long. Still improving.",terrific
"Ravishingly gorgeous, elegant, fragrant fruit. Very lovely, if a little light and perhaps no more than it ought to be for a Grand Cru. Some want to keep this for 10 years and (probably) good it will be in rather a different way, but I love it now too.",terrific
"Lovely mushroomy nose, perfectly fresh, nicely dry. Ripe but with excellent acidity and good length.",terrific
Creamy and mineral. Excellent,terrific
"Very mineral, stony and dry, lemony, intense, very Raveneau. Starting to drink well.",terrific
"Delicate, fragrant, almost floral. Medium-weight palate, succulent tannins gives some bite on the finish. Bare",terrific
"Very evolved colour. Open nose, rich, hinting at corruption. Slightly open palate that puts me off, but classy irony hints are rather lovely. Bare",terrific
A bit grassy and cloying on the finish. I enjoyed this at The Square in London a while ago but it seems a bit dull this time.,horrible
"Bright, clean, nice pure fruit. Nice acidity - mouthwatering. Scrapes",horrible
"Quite rustic, light-bodied but quite intense. Characterful. Top",horrible
Quite leesy and rich - Chassagne-like. A touch showy perhaps. Top,horrible
"Nice tone, appetising.",horrible
"This wine has been a bit of an enigma over the years - Toby and I have both given varying reports. This bottle, however, was exactly what it should be. Fresh and vibrant, sweet strawberry and beetroot, and with good acidity. More than pleasant.",terrific
Bright and high-toned. Good.,horrible
Nice fruit concentration. Good acidity. Bare,horrible
Added complexity. Fine length.,horrible
Restrained - gives the impression of being a bit less complex - or is it just a bit closed? Bare,horrible
Pure Pinot - simple but nicely balanced. Bare,horrible
Richer and more complex.,horrible
Youngish vines but good definition with bright fruit. Bare,horrible
Elegant - well-bred. Pretty good. Top,horrible
"Christmas cake, underbrush, touch of smoke. Quite rounded fruit. Pretty elegant.",terrific
"Smokier, tea nose, fragrant, moderate weight. Quite easy-going fruit, very tannic finish.",terrific
"Tobacco-leaf, elegant, but just slightly rough-woody too. Is it absolutely and completely right?",horrible
"Smoky, cigary, classic. Later, spring flowers. Perfect balance. Lovely.",terrific
"Leesy, rounded, touch of nuttyness. Very fine.",terrific
"Rich, easy-going. pure, effortlessly fresh. Elegant and lovely. Bare",terrific
"Rounded, earthy, really quite splendid with years to go. A fine",terrific
"Pineappley oak from this (new) barrel, yeasty, rich and rounded fruit.",horrible
"Hazelnut fruit, quite tight and with good length. The acidity seemed moderate. Top",horrible
"Back to round, Chassagne richness. Mouthfilling, and potentially very drinkable.",horrible
"Tighter than the Romanee, excellent Chassane again.",horrible
A touch of ginger on the nose. Lots of class but pretty moderate weight again - one could imagine this filling out though.,horrible
"Ripe and plummy, beetrooty, quite rich.",horrible
"Higher-toned, crunchy red fruits. Potentially rather good.",horrible
"A synthesis of the last two, nice balance and quality fruit.",horrible
"Easier to see through the effects of recent battonage on this wine particularly. Apples, nuts, good richness. At least",horrible
"Forward, fruity, characterful. Top",horrible
"Richer, probably will be very good.",horrible
"Pure, dry, penetrating, very classic. Maybe even",horrible
"Pure and bright, nice fruit but rather tannic. Good",horrible
"Lovely pure fruit, very fine - I do hope it doesn't get too much oak, but I fear it will dominate the wine. Top",horrible
"Tannic again, but a nice purity of fruit.",horrible
"Concentrated, rich and tannic.",horrible
"Forward, fruity, nicely made.",horrible
"Quieter, less flamboyant than the Auxey. Attractive.",horrible
"Pure, dry, quite tannic.",horrible
"Quite mineral, leesy now, fine, frangrant and elegant.",horrible
"Stony cherries, really nice fruit.",horrible
"Strong, iron, dry and reserved, with quite light-bodied fruit.",horrible
"More rounded, fruity and earthy.",horrible
"Intense, round cherry fruit, and a touch of farmyard.",horrible
"Mineral, light-bodied, dry and intriguing.",horrible
"Nice nose, pure and unforced. Fine, dry palate. A good example.",horrible
"Bright red fruits, pure and appetising. Very fine for the classification. Top",horrible
Red fruits - very Chambolle. Good concebtration and complexity for village wine.,horrible
"Orchard fruits and plums, quite easy-going. Top",horrible
"Higher-toned, cherries, quite dry, bright and elegant. Very good indeed.",horrible
"Mineral, high-toned, savoury and appetising.",horrible
Not unlike the Fuees but a little less striking at this stage.,horrible
Pretty feeble effort. This could be fizzy anything. It has no character.,horrible
"Dull - none of the depth, freshness of fruit or vibrancy I was expecting.",horrible
"Sherberty, lemony. Extravagantly rich. Touch of liquorice. Has a certain appeal, but it's out of balance to me. Bare",horrible
"Very cassis nose, minty. Very primary. Very ripe. Structured under quite open fruit.",horrible
"Rich, lifted cherry fruit. Touch of oak etc.",horrible
Cherry again - dry tannins. Might come good.,horrible
Drying out badly.,horrible
"Very graceful - round, ripe fruit. Lovely.",terrific
Medium weight with a lovely savoury palate and a touch (not unpleasant now they are resolved) of the vintages tannins. I like this a lot - probably has more time left than the 81. Bare,terrific
"Very nicely classic. Cigar box and sweet, ripe fruit nose. Follows through nicely with a high-toned palate. Bare",terrific
"A bit faded, but alive and quite pleasant - splendid effort for the vintage. Very drinkable. From a half. Top",horrible
Intriguing brown-sugar nose with lots of mineral terroir notes. Very classic and savoury - gorgeous. Returning to it: walnut nose and the palate too is like licking one. High-toned again. Really splendid but still needs time.,terrific
Stunning mix of flavours - quite fascinating. Hints at an edgy volatility too. Delicious but needs drinking - it may be a bit unstable. Top,terrific
Perfectly balanced mature Claret - So mineral. An absolute pleasure from beginning to end.,terrific
"Stands out above the last two wines with an amazing extra depth and huge complexity. Suave, yet dry. Very, very long. No hurry to drink.",terrific
"Very ripe and rounded - silky rich texture and a long, complex palate. Relatively forward. I can see how this got its rave reviews from Parker, but on returning there are piquant notes too. Top",terrific
"Exotic coconut nose, creamy. Not Claret as we know it, but fascinating. There's great depth and structure and so this probably will be stunning in a while. Bare",terrific
"A blend of 91, 90 and 89. Apple and mushroom nose and palate - very meaty and substantial. Big finish.",terrific
"Very reductive but after a while in the glass, fragrant, sous-bois, nutty. Real tar and roses. Reveals more each time ypon come back to it. Bare",terrific
"Fresh, mainstream old Barolo - tar and roses again. Very nice.",terrific
"An ancient-looking bottle. Appetising, nutty, good length. Pleasing fruity background. Very nice. Bare",terrific
"Ripe, fruity. Rather simple. Quite New Worldy.",horrible
Quite characterful. Mothbally fruit. I like it in a way - more than the Planeta but it hasn't the class of the Isole wine. Top,horrible
"Inky, tannic. Youthful, not that concentrated. Touch of mint.",horrible
"Inky colour, tannic, quite silky fruit. Classy. Top",horrible
"Blackcurranty, minty, silky. Perfectly nice but no real class.",horrible
"Baked fruit. Quite reasonable given that, but not really special.",horrible
Pleasant but a bit faded and disjointed. Bare,horrible
Label mainly gone - clearly old. Slightly sweet and a bit nutty.,horrible
"Broader, more open on the nose. Easier going. Lovely, but not quite as mineral as the Intistieti. Bare",terrific
"Fantastic nose, a mix of floral scents and high-toned fruit. Explodes in the mouth.",terrific
"Deeper colour, open, ravishing nose. Creamy again, pure, but open rather than high-toned. Mature, I think. Bare",terrific
"A slight prickle at first, dissipates but perhaps takes the edge off a lovely, balanced, mature wine. Bare",terrific
"Even more luscious. Ethereal, nutty, long. Fascinating - even more so given the the lack of clarity about what it is.",terrific
"Clean, dry, a bit leafy. Modern styled - could be anything.",horrible
Very nice - less characterful than Tondonia and this seems only to be a Crianza. Still very drinkable. Top,horrible
"Creamy, citric, long. Lovely fine texture. Needs a year or two. Lovely. Bare",terrific
Rather VAish - nice underlying fruit. Austere.,horrible
"Tea nose, cedary fruitcake. Sweet palate, quite leafy Cab. Slightly chunky Cos style - but very good.",terrific
Lovely - hints at old Sherry and Madeira. Fantastically elegant and fine from appearance to finish. Stunning.,terrific
"Floral, suggestions of warm hay. Light, refreshing, noticably off-dry.",horrible
Still Prosecco - it does seem rather featureless!,horrible
A domaine in Quintaine (Macon). Charming and easy - in the best sort of way. A great advert for basic Burgundy.,horrible
"Intense, sherberty, rather closed - needs time. At least",horrible
"High-toned, bright, delicious.",terrific
Very fine indeed.,terrific
Pure and elegant but very gutless and lacking complexity. Disappointing. A sign that Jaboulet is losing it?,horrible
"Kerosene, intense, OK but not huge acidity. Very nice.",terrific
"Ice-cream - lovely, dry, piquant palate - intense. Quite tannic. Perhaps",terrific
"Like all the Gravner whites, a deep golden colour quite unlike most modern white wines. Jammy nectarine nose, rather red-wine-like. Grapey peach palate, long and honied. Striking and interesting. It has the structure (some tannins) and balance to improve. Lovely.",terrific
"A little diffuse on the nose by comparison - there's some extra complexity from the odd mix of grapes involved, but I feel that is superficial and I prefer the honied purity of the Ribolla. Excellent again.",terrific
"Honied nectarine again, excellent but lacking the depth of the 1999 - also perhaps a touch ""flatter"". Still exciting. Bare",terrific
"Interesting, fine flavours - again a lot less weighty than the 1999. Perhaps scrapes in at",terrific
"High-toned cherry fruit right through the palate. Charming, nice tannins, decent acidity. Very good.",horrible
"Ripe, very pure, cherry-like again. Pretty exciting wine, needing a few years yet. Top",horrible
"Fantastic texture and density, really good. So suave.",terrific
Lovely - mouthwatering and delicious. Scrapes,terrific
Seems rather evolved at first - takes time to open up. When it does it has amazing intensity and length. The flavours centre around mushrooms and slow-moving rivers. Lovely.,terrific
"Dry, intense, long. Benchmark wine, I feel.",terrific
"Fragrant, dry, a mid-palate hole but with time in the glass, lovely.",terrific
"Dry, keroseney, long. Pretty much dry, in the Trimbach style. Excellent.",terrific
"Ravishing, fragrant nose. Middle-weight - balanced, long, lovely. A top",terrific
"More sauvage, with bright fruit. Still quite tannic - could do with a couple of year. It won't be quite as graceful as the Chave, but it's very, very good.",terrific
Porty - needs time - dry and flavoursome. Top,terrific
"Very fine, dry, ripe but not overblown. Classic Cabernet cedaryness too. Top",terrific
"Fine, elegant, possibly a touch spirity. Very classy but it perhaps needs to be studied carefully on a fairly clean palate. Still, I think",terrific
A bit sulphury. Sauvignon dominated - like an oaked NZ wine. Banana-like fruit. Bare,horrible
Very immediate hit of warm-climate-like cab. Easy-going - fine for a BBQ. No great finish. Bare,horrible
"Cashews, yeasty bread, honey, creamy fruit - a different character on returning each time. Taught acidity and good length. Really fine - perhaps even",terrific
Most of my recent notes of this wine have been from a single case bought at auction a while ago. I have since discovered from the nice people at Gosset that it is a 93+94+95 blend. Lovely honey and apples with yeasty undertones. Some will say it is showing a touch of oxidative character and I suppose it is although I don't find it remotely a problem. Very rich but now in perfect balance.,terrific
A bit woody - extravagent oak as often with Grivot. Dry and austerely planky. I'm not so keen - others may like more.,horrible
"Rasins, a touch of oxidation, sweet pruney palate. OK but unremarkable.",horrible
"Very pale - the colour has dropped out as sediment. Madeira-like nose, pleasant port palate.",horrible
"Very pale, mushrooms and biscuits. Probably very old (some paper labels claim some of these bottles as 1850's - if any are, it's this one) and past its best.",horrible
"From different source and showing up all the previous wines. Lovely graceful old wine, fruity and scented, still fresh. It develops in the glass and is completely delicious. Top",terrific
"Nutty, yeasty, lovely mature Champagne. Bare",terrific
"Mineral, clear, fine. A stunning effort for the vintage. Top",terrific
Still a touch hard but very fine.,terrific
Lovely mature Claret. Perhaps even a bare,terrific
"Dry, very smoky, quite baked fruit. Seems younger than its years.",terrific
"Gummy, quite intense, in-your-face stuff.",horrible
"Elegant, lovely balance. Class always tells. Bare",terrific
"Very marmaladey, soft , delicious. I need to think more about this - is it Tokay somehow as it should be, or is it turned into something else for the modern market. I'm not sure yet, and I need to drink a couple of glasses more contemplatively. Still, it's at least very impressive.",terrific
"Nicely shaped bottle, and reasobale stuff inside it. A bit coarse and woody, and a bit too sweet.",horrible
"OK, but nothing out of the ordinary.",horrible
"Good nose, but not typical. A really very coarse palate.",horrible
"Nicely made, fruity but not vulgar. Very drinkable. Bare",horrible
No excessive 2003 flab although I'd like a bit more precision and minerality. Decent wine.,horrible
"Excellent fruit, especially given the vintage. Gamy and mineral. A lovely mouthful but the finish is a touch harsh. Still",terrific
"Creamy, fragrant, delicate, quite fine. Butterscotch background to greengage fruit. Completely fresh with a long finish. (Magnum)",terrific
"Lovely, creamy, fine acidity, good length. Appetizing. Lovely.",terrific
Beetroot fruit - harder than the previous wines. Very baked and extracted. This is really not a success.,horrible
"Very fine - deep, rich, silky with a lovely refined, dry palate. Splendid for vintage, but could one regret the lack of C-R typicity?",terrific
Lighter at the final analysis - although more mouthfilling. Top,horrible
"Acacia, nuts. Intense, dry, long. Drinking but no hurry.",terrific
"Lime, herbs, cream. Not heavy on the palate - lovely. Top",terrific
"Fragrant, piquant cranberry, yet meaty (bovril) nose. Excellent for the vintage. Partly on the basis of interest - a bare",terrific
"Fat, nice botrytis, a touch of paint-stripper and not so long. Good",horrible
"Lightweight yet concentrated. Ethereal, complex chocolatey fruit. Lovely.",terrific
Very juicy with a touch of Italianate bitterness to give it a grown-up appeal. Finishes a touch abruptly perhaps. A good,horrible
"This is half Chardonnay and half Pinot Meunier - the latter not that apparent. Very yeasty, seems a bit four-square at the moment (perhaps that is where one sees the P-M). Rich and really very long. Clearly need quite a lot of time, and I can see it could well be very good in a decade or so, although it might be a bit light on finesse. Bare",horrible
"Possibly a touch too old now, but lovely old Champagne nonetheless. Mature and elegant for its depth.",terrific
"One of the first wines I bought with a view to keeping. I love old white Burgundy, and this didn't let me down. Lovely, oily, nutty ethereal stuff.",terrific
"Disappointing. Not past it, but just not particularly special. Maybe it still needs loads more time to develop?",horrible
Lovely pure beetroot and raspberry nose. Drinking very well. Silky.,terrific
"Stylish nose, slightly resinous - a bit thin on the palate. Pleasant.",horrible
"Slightly flat, flavoursome, a bit rustic. Interesting, up to a point.",horrible
"Honied nose, strong palate. Quite evolved - ready in fact and needing drinking over the next few years, I suspect. Even unflawed 96's seem to be aging quite quickly.",terrific
"Open, peachy, luxurious. A little light, some thought, but I loved it.",terrific
"Grenachey, cassis overtones - quite raw finish. A bit rubbery.",horrible
"Nice balance, clearly warm-vintage. A lovely balance of slavours. Coming round to drinking quite fast. A good",terrific
"Fragrant nose. Gummy, rich, very fine.",terrific
"Burnt, a bit thin. Bare",horrible
"Fruity, grassy - like a new world semillon. Pleasant enough.",horrible
Nice fruit quality - quite suave. Decent length. Top,horrible
Very fresh raspberry fruit with a meaty underlay. Very refined texture and good length. Once it has been open a while it seems even more Burgundian. It needs a bit more minerality or something to be truly outstanding. Scrapes,terrific
"Quite tight and closed, but opens out with time as it warms up. Excellent intensity and a long brioche finish. Good balance.",terrific
"Sold to me in Oddbins as the wine that beat Dom Perignon in a recent competition. Actually it might have been the NV Blin that did this - different assistants in Oddbins attributed the result to both wines. This wine is good, but not DP good. There's a touch of sweetness and some heaviness of hand.",horrible
Drinkable.,horrible
"Rich, quite forward (sepcially for the vintage), the quality shows in the persistence. Lovely Juniper/Gin edge to the nose.",terrific
Lighter and a touch vegetal. A touch thin but nevertheless it is a wine of character. Top,horrible
"Really quite Northern Rhone-like and very stylish, gamy Syrah.",terrific
"Very complex, smoky wine. Really lovely. Scrapes",terrific
"Gamy but elegant. A little overawed by the Rayas wines, but fine. Bare",terrific
"Balanced and rich, but perhaps not showing ideally now. A little more time might help. Still",terrific
"Very creamy but not rich. Dies a bit in the glass. Interesting, and pretty good for an average vintage, vineyard, etc. Top",horrible
